entity,code,year,it_net_user_zs_number
Armenia,ARM,1990,0.0
Armenia,ARM,1994,306.85242
Armenia,ARM,1995,1743.0952
Armenia,ARM,1996,3101.6833
Armenia,ARM,1997,3635.8438
Armenia,ARM,1998,4138.837
Armenia,ARM,1999,30754.348
Armenia,ARM,2000,41889.438
Armenia,ARM,2001,52387.5
Armenia,ARM,2002,62729.04
Armenia,ARM,2003,145606.28
Armenia,ARM,2004,155048.72
Armenia,ARM,2005,165280.39
Armenia,ARM,2006,176112.02
Armenia,ARM,2007,187105.88
Armenia,ARM,2008,191708.9
Armenia,ARM,2009,469098.0
Armenia,ARM,2010,761200.0
Armenia,ARM,2011,968928.0
Armenia,ARM,2012,1134037.5
Armenia,ARM,2013,1266218.1
Armenia,ARM,2014,1646222.1
Armenia,ARM,2015,1775743.8
Armenia,ARM,2016,1925426.4
Armenia,ARM,2017,1929008.9
Armenia,ARM,2018,2026195.5
Armenia,ARM,2019,1971364.6
Armenia,ARM,2020,2265775.5
Armenia,ARM,2021,2328730.8
Armenia,ARM,2022,2287105.8
Armenia,ARM,2023,2371340.0
Armenia,ARM,2024,2467427.8
Azerbaijan,AZE,1990,0.0
Azerbaijan,AZE,1994,108.63066
Azerbaijan,AZE,1995,158.3079
Azerbaijan,AZE,1996,492.95047
Azerbaijan,AZE,1997,1975.239
Azerbaijan,AZE,1998,2967.375
Azerbaijan,AZE,1999,7918.8877
Azerbaijan,AZE,2000,11892.416
Azerbaijan,AZE,2001,24784.959
Azerbaijan,AZE,2002,408574.12
Azerbaijan,AZE,2005,673899.2
Azerbaijan,AZE,2006,1017484.2
Azerbaijan,AZE,2007,1247721.0
Azerbaijan,AZE,2008,1496788.8
Azerbaijan,AZE,2009,2451544.5
Azerbaijan,AZE,2010,4164992.8
Azerbaijan,AZE,2011,4586541.0
Azerbaijan,AZE,2012,5038315.0
Azerbaijan,AZE,2013,6874265.0
Azerbaijan,AZE,2014,7151311.0
Azerbaijan,AZE,2015,7429992.5
Azerbaijan,AZE,2016,7630608.5
Azerbaijan,AZE,2017,7784686.5
Azerbaijan,AZE,2018,7931937.0
Azerbaijan,AZE,2019,8129693.5
Azerbaijan,AZE,2020,8538780.0
Azerbaijan,AZE,2021,8718464.0
Azerbaijan,AZE,2022,8924745.0
Azerbaijan,AZE,2023,9037022.0
Azerbaijan,AZE,2024,9227419.0
Azerbaijan,AZE,2025,9304273.0
Belarus,BLR,1990,0.0
Belarus,BLR,1994,49.703003
Belarus,BLR,1995,297.65988
Belarus,BLR,1996,2976.754
Belarus,BLR,1997,4957.542
Belarus,BLR,1998,7443.1807
Belarus,BLR,1999,49632.35
Belarus,BLR,2000,185660.48
Belarus,BLR,2001,426988.75
Belarus,BLR,2002,883062.44
Belarus,BLR,2006,1555997.8
Belarus,BLR,2007,1883507.9
Belarus,BLR,2008,2191436.5
Belarus,BLR,2009,2607107.2
Belarus,BLR,2010,3015859.8
Belarus,BLR,2011,3751437.0
Belarus,BLR,2012,4431511.0
Belarus,BLR,2013,5115387.5
Belarus,BLR,2014,5576165.5
Belarus,BLR,2015,5887661.5
Belarus,BLR,2016,6733963.5
Belarus,BLR,2017,7040935.5
Belarus,BLR,2018,7468900.5
Belarus,BLR,2019,7798538.0
Belarus,BLR,2020,7981205.5
Belarus,BLR,2021,8082868.5
Belarus,BLR,2022,8259800.0
Belarus,BLR,2023,8399290.0
Belarus,BLR,2024,8608582.0
Europe and Central Asia (WB),WB_ECA,2005,303820670.0
Europe and Central Asia (WB),WB_ECA,2006,333703420.0
Europe and Central Asia (WB),WB_ECA,2007,383966140.0
Europe and Central Asia (WB),WB_ECA,2008,425312030.0
Europe and Central Asia (WB),WB_ECA,2009,467839580.0
